n_flows,run,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_rejected,cspf_rejected,weighted_rejected
30,0,1.0,1.0,1.0,0,0,0
30,1,1.0,1.0,1.0,0,0,0
30,2,0.9666666666666667,0.9333333333333333,0.9333333333333333,1,2,2
30,3,0.8666666666666667,1.0,1.0,4,0,0
30,4,1.0,0.9333333333333333,0.9333333333333333,0,2,2
30,5,1.0,0.9666666666666667,0.9666666666666667,0,1,1
30,6,0.9333333333333333,0.9333333333333333,0.9666666666666667,2,2,1
30,7,1.0,1.0,1.0,0,0,0
30,8,1.0,0.9333333333333333,0.9333333333333333,0,2,2
30,9,1.0,1.0,1.0,0,0,0
60,0,0.8166666666666667,1.0,0.9833333333333333,11,0,1
60,1,0.8666666666666667,0.9833333333333333,1.0,8,1,0
60,2,0.8,0.9666666666666667,0.9666666666666667,12,2,2
60,3,0.8166666666666667,1.0,0.9833333333333333,11,0,1
60,4,0.9,0.9333333333333333,0.9333333333333333,6,4,4
60,5,0.9333333333333333,0.9833333333333333,0.9833333333333333,4,1,1
60,6,0.85,0.95,0.95,9,3,3
60,7,0.9333333333333333,0.9666666666666667,0.95,4,2,3
60,8,0.8166666666666667,0.9333333333333333,0.95,11,4,3
60,9,0.9333333333333333,1.0,1.0,4,0,0
90,0,0.7555555555555555,0.9666666666666667,0.9666666666666667,22,3,3
90,1,0.7888888888888889,0.9777777777777777,0.9888888888888889,19,2,1
90,2,0.7333333333333333,0.9555555555555556,0.9555555555555556,24,4,4
90,3,0.7444444444444445,0.9555555555555556,0.9777777777777777,23,4,2
90,4,0.7777777777777778,0.9444444444444444,0.9444444444444444,20,5,5
90,5,0.8,0.9888888888888889,0.9888888888888889,18,1,1
90,6,0.8444444444444444,0.9555555555555556,0.9555555555555556,14,4,4
90,7,0.8111111111111111,0.9777777777777777,0.9666666666666667,17,2,3
90,8,0.7444444444444445,0.9555555555555556,0.9666666666666667,23,4,3
90,9,0.8444444444444444,0.9888888888888889,0.9888888888888889,14,1,1
