=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 11 -> 6 | ACCEPTED
FLOW 0 CSPF: 13 -> 11 -> 6 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 11 -> 6 | ACCEPTED
FLOW 1 IP: 4 -> 8 | ACCEPTED
FLOW 1 CSPF: 4 -> 8 | ACCEPTED
FLOW 1 WEIGHTED: 4 -> 8 | ACCEPTED
FLOW 2 IP: 14 -> 12 | ACCEPTED
FLOW 2 CSPF: 14 -> 12 | ACCEPTED
FLOW 2 WEIGHTED: 14 -> 12 | ACCEPTED
FLOW 3 IP: 7 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 3 CSPF: 7 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 8 -> 0 -> 5 | ACCEPTED
FLOW 4 IP: 14 -> 4 -> 3 | ACCEPTED
FLOW 4 CSPF: 14 -> 4 -> 3 | ACCEPTED
FLOW 4 WEIGHTED: 14 -> 4 -> 3 | ACCEPTED
FLOW 5 IP: 4 -> 6 -> 2 | ACCEPTED
FLOW 5 CSPF: 4 -> 6 -> 2 | ACCEPTED
FLOW 5 WEIGHTED: 4 -> 6 -> 2 | ACCEPTED
FLOW 6 IP: 12 -> 8 -> 4 | ACCEPTED
FLOW 6 CSPF: 12 -> 8 -> 4 | ACCEPTED
FLOW 6 WEIGHTED: 12 -> 8 -> 4 | ACCEPTED
FLOW 7 IP: 12 -> 9 | ACCEPTED
FLOW 7 CSPF: 12 -> 9 | ACCEPTED
FLOW 7 WEIGHTED: 12 -> 9 | ACCEPTED
FLOW 8 IP: 1 -> 8 -> 7 -> 11 | ACCEPTED
FLOW 8 CSPF: 1 -> 8 -> 7 -> 11 | ACCEPTED
FLOW 8 WEIGHTED: 1 -> 8 -> 7 -> 11 | ACCEPTED
FLOW 9 IP: 13 -> 3 -> 10 | ACCEPTED
FLOW 9 CSPF: 13 -> 3 -> 10 | ACCEPTED
FLOW 9 WEIGHTED: 13 -> 3 -> 10 | ACCEPTED
FLOW 10 IP: 8 -> 1 | ACCEPTED
FLOW 10 CSPF: 8 -> 1 | ACCEPTED
FLOW 10 WEIGHTED: 8 -> 1 | ACCEPTED
FLOW 11 IP: 5 -> 0 -> 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 11 CSPF: 5 -> 0 -> 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 11 WEIGHTED: 5 -> 0 -> 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 12 IP: 8 -> 7 | ACCEPTED
FLOW 12 CSPF: 8 -> 7 | ACCEPTED
FLOW 12 WEIGHTED: 8 -> 7 | ACCEPTED
FLOW 13 IP: 8 -> 4 | ACCEPTED
FLOW 13 CSPF: 8 -> 4 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 4 | ACCEPTED
FLOW 14 IP: 14 -> 4 -> 8 | ACCEPTED
FLOW 14 CSPF: 14 -> 4 -> 8 | ACCEPTED
FLOW 14 WEIGHTED: 14 -> 4 -> 8 | ACCEPTED
FLOW 15 IP: 11 -> 13 | ACCEPTED
FLOW 15 CSPF: 11 -> 13 | ACCEPTED
FLOW 15 WEIGHTED: 11 -> 9 -> 13 | ACCEPTED
FLOW 16 IP: 13 -> 12 | ACCEPTED
FLOW 16 CSPF: 13 -> 12 | ACCEPTED
FLOW 16 WEIGHTED: 13 -> 12 | ACCEPTED
FLOW 17 IP: 7 -> 13 | ACCEPTED
FLOW 17 CSPF: 7 -> 13 | ACCEPTED
FLOW 17 WEIGHTED: 7 -> 13 | ACCEPTED
FLOW 18 IP: 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 18 CSPF: 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 18 WEIGHTED: 11 -> 0 -> 5 | ACCEPTED
