=== LOG DLA 90 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 6 | ACCEPTED
FLOW 0 CSPF: 13 -> 6 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 6 | ACCEPTED
FLOW 1 IP: 4 -> 8 | ACCEPTED
FLOW 1 CSPF: 4 -> 8 | ACCEPTED
FLOW 1 WEIGHTED: 4 -> 8 | ACCEPTED
FLOW 2 IP: 14 -> 12 | ACCEPTED
FLOW 2 CSPF: 14 -> 12 | ACCEPTED
FLOW 2 WEIGHTED: 14 -> 12 | ACCEPTED
FLOW 3 IP: 7 -> 5 | ACCEPTED
FLOW 3 CSPF: 7 -> 5 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 5 | ACCEPTED
FLOW 4 IP: 14 -> 2 -> 3 | ACCEPTED
FLOW 4 CSPF: 14 -> 2 -> 3 | ACCEPTED
FLOW 4 WEIGHTED: 14 -> 2 -> 3 | ACCEPTED
FLOW 5 IP: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 5 CSPF: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 5 WEIGHTED: 4 -> 11 -> 0 -> 2 | ACCEPTED
FLOW 6 IP: 12 -> 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 6 CSPF: 12 -> 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 6 WEIGHTED: 12 -> 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 7 IP: 12 -> 2 -> 9 | ACCEPTED
FLOW 7 CSPF: 12 -> 2 -> 9 | ACCEPTED
FLOW 7 WEIGHTED: 12 -> 2 -> 9 | ACCEPTED
FLOW 8 IP: 1 -> 6 -> 13 -> 11 | ACCEPTED
FLOW 8 CSPF: 1 -> 6 -> 13 -> 11 | ACCEPTED
FLOW 8 WEIGHTED: 1 -> 6 -> 13 -> 11 | ACCEPTED
FLOW 9 IP: 13 -> 6 -> 10 | ACCEPTED
FLOW 9 CSPF: 13 -> 6 -> 10 | ACCEPTED
FLOW 9 WEIGHTED: 13 -> 6 -> 10 | ACCEPTED
FLOW 10 IP: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 10 CSPF: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 10 WEIGHTED: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 11 IP: 5 -> 7 -> 9 | ACCEPTED
FLOW 11 CSPF: 5 -> 7 -> 9 | ACCEPTED
FLOW 11 WEIGHTED: 5 -> 7 -> 9 | ACCEPTED
FLOW 12 IP: 8 -> 12 -> 2 -> 7 | ACCEPTED
FLOW 12 CSPF: 8 -> 12 -> 2 -> 7 | ACCEPTED
FLOW 12 WEIGHTED: 8 -> 12 -> 2 -> 7 | ACCEPTED
